dust_accumulated,pi_residual
254.66666666666663,0.02034088725855021
258.87499999999994,-0.00644535389219314
259.29166666666663,0.016272870567322517
259.91666666666663,0.02885613596002834
260.4583333333333,0.04043305718084067
260.4583333333333,0.019543357671680806
260.9583333333333,2.9618194361979988e-05
261.5,0.2249855448642677
263.125,-0.019058387826029755
270.75,-0.013208328082595422
271.625,-0.07847491278027618
271.8333333333333,0.04468146968891196
274.25,0.013374389867479852
278.25,0.0205451975338935
283.2916666666667,0.037666142917748946
287.4166666666667,-0.020344013465985356
292.33333333333337,-0.09166228034382407
296.83333333333337,-0.14063044167301753
302.45833333333337,-0.06995436851078729
302.70833333333337,-0.0014383780467461804
302.70833333333337,0.09004295427374576
303.2916666666667,0.020729772303202054
304.2916666666667,-0.0501985777809395
305.2916666666667,-0.02132412539135986
305.45833333333337,-0.04500552101422395
0.20833333333333334,-0.15354523169307432
0.6666666666666666,-0.22372398861872433
1.125,-0.210258392039413
1.125,0.18783929004803568
1.125,-0.44676470135826163
1.125,0.025136997244353587
1.125,0.052178290219743406
1.125,-0.08077481747133897
1.125,-0.07625884456117449
1.125,0.1010603054531849
1.125,0.19202539030678478
1.6666666666666665,0.2523945613581873
3.6666666666666665,0.08096595594666711
5.166666666666666,0.0013194925026343007
5.833333333333333,-0.11375812093418203
5.833333333333333,-0.06995545960553207
5.833333333333333,0.022095267664249185
5.833333333333333,0.01768468418434077
5.833333333333333,-0.07127951664725307
5.833333333333333,-0.06650781193271182
5.833333333333333,-0.04926694386633068
5.833333333333333,0.018194881312203037
6.291666666666666,-0.0409746823181556
6.291666666666666,0.021970490228353956
6.291666666666666,-0.03377995880466145
6.291666666666666,-0.01721183008253302
6.291666666666666,0.13034710117061632
6.291666666666666,0.09934379875023769
7.749999999999999,0.38176169718485653
12.0,-0.5285320932924278
13.25,0.03743993878084684
13.791666666666666,-0.23753088615187146
15.166666666666666,0.13473358440535366
17.541666666666664,0.3287025482696331
20.958333333333332,-0.3587394997275797
23.875,-0.055772959851629444
26.416666666666668,-0.09718284647886488
27.875,-0.04757386167406752
33.5,-0.053249422434973326
38.0,0.02974987929072448
45.208333333333336,-0.021867883220784368
58.75,-0.4573392615047531
79.0,0.13308919090075433
97.95833333333333,-0.0495061444956133
109.66666666666666,-0.15628385982992343
118.08333333333333,0.10048073700434834
118.75,0.3439197941189258
118.79166666666667,-0.1376259657407104
118.79166666666667,1.6079630418456623
118.79166666666667,-0.03223947487679224
121.125,-0.4826636823540267
124.08333333333333,-0.07437709025184125
125.70833333333333,0.4692356237026183
126.08333333333333,-0.40812205137603774
126.375,0.21778197273873579
126.875,0.07884234240772248
127.54166666666667,-0.03983063183909197
128.33333333333334,0.19256030979151184
129.33333333333334,-0.11327291429412689
130.625,0.4463147145642026
131.625,-0.046428606943183404
131.625,0.195965435294029
132.29166666666666,0.09359771350494528
133.58333333333331,0.10752556462226348
134.87499999999997,0.07924265971854672
142.58333333333331,0.014340193241590526
145.58333333333331,0.06088132297396065
145.99999999999997,0.07121919637947949
145.99999999999997,0.11608088078734635
146.45833333333331,0.31977337557535535
152.20833333333331,0.11081909468440365
162.33333333333331,0.2018075080748254
169.87499999999997,0.0419994532567034
169.87499999999997,0.12321607441285831
169.87499999999997,0.14941611850833514
169.87499999999997,-0.09165840995899543
169.87499999999997,-0.017682852062174348
169.87499999999997,-0.13968525666800335
170.41666666666663,-0.02460674537344243
171.41666666666663,-0.008401882983841258
173.04166666666663,-0.010866867787061807
174.99999999999997,0.03250221734141956
176.79166666666663,-0.013551721957878016
176.79166666666663,0.0837019402651249
