date,pi,pi_temp_corrected,pi_14d,pi_temp_corrected_14d
2023-02-07,2.4730209759879425,2.3898350499004746,2.416762489182956,2.348745259072662
2023-02-08,2.544438772803002,2.4614747658210048,2.4237836447394083,2.355672641551917
2023-02-09,2.647030224254363,2.5611104380942167,2.438072402682178,2.3692603834005976
2023-02-10,2.563165113477959,2.5065701537206957,2.448161251682394,2.379359993390438
2023-02-11,2.5471061925435308,2.492441371242039,2.4503525086752562,2.3842935985033007
2023-02-12,2.480986765267703,2.4729067998935093,2.4492928717401634,2.3866505837010763
2023-02-13,2.5030356098540643,2.478604316927648,2.4544773457944338,2.3936846397837974
2023-02-14,2.5211183364113863,2.5458214228795937,2.4550454764702,2.4011072493221346
2023-02-15,2.593594496889864,2.5870082702618085,2.4705572820133423,2.4177334316788226
2023-02-16,2.4943306544673103,2.529692862072682,2.48021464846767,2.4305475163948853
2023-02-17,2.4970484383341316,2.538179639390454,2.475385459737003,2.434202245775418
2023-02-18,2.4573343466506854,2.5099107010611643,2.4734648224092424,2.440452529434333
2023-02-19,2.4899241899374553,2.5607648143158195,2.4656540327347143,2.4459301631624784
2023-02-20,2.419654033445747,2.466550611610774,2.516556296451796,2.5072050869422773
2023-02-21,2.5009722405674535,2.5564938273172575,2.5185528153503327,2.5191092853291903
2023-02-22,2.4437516958157848,2.5319355835272703,2.5113608812798174,2.524142200879638
2023-02-23,2.450345738001127,2.527131985266151,2.497311989404586,2.5217151685347763
2023-02-24,2.506239726253588,2.5635970047383525,2.4932458903171306,2.5257885150360373
2023-02-25,2.4572656072787926,2.5197132890357996,2.486828705655364,2.5277365091641633
2023-02-26,0.6320004186111983,0.6403175094109106,2.3547582523227564,2.396837274129692
2023-02-27,2.47826056707102,2.503186042085082,2.352988606409682,2.3985931116409374
2023-02-28,2.3933747236965583,2.3409068327843916,2.3438640626443368,2.3839563552055654
2023-03-01,2.4564289704243234,2.48898896476353,2.3340665250396557,2.376954976241403
2023-03-02,2.4576267041571027,2.420602703298746,2.331444814303212,2.3691628220432643
2023-03-03,2.5247884553380575,2.479113627404167,2.333426244089207,2.3649438211871012
2023-03-04,2.4693497026740454,2.392781927242861,2.334284483805161,2.35657748020008
2023-03-05,2.4374630029542828,2.3497245336314565,2.330537256163506,2.341503174436911
2023-03-06,2.441896724513258,2.5030704629451037,2.332126019811185,2.3441117352465057
2023-03-07,2.522106701129697,2.567748157149259,2.3336356241370595,2.344915615948792
2023-03-08,0.3012023758273584,0.3028615206432071,2.1805963869950293,2.1856960400285015
2023-03-09,0.5928380561284631,0.6115705250149335,2.0479172668612673,2.048870221439129
2023-03-10,2.466122160878923,2.5279103461917196,2.045051726477363,2.0463211744000835
